Id,Surface Area: Surface Area,Volume: Volume
1.52E+02,2.60E-13,5.38E-21
1.53E+02,5.97E-13,2.30E-20
1.54E+02,6.14E-13,2.33E-20
1.55E+02,4.24E-13,1.20E-20
1.56E+02,1.33E-13,2.30E-21
1.57E+02,2.05E-13,4.61E-21
1.58E+02,5.34E-13,1.81E-20
1.59E+02,6.11E-13,2.30E-20
1.60E+02,1.01E-13,1.28E-21
1.61E+02,1.43E-12,8.04E-20
1.62E+02,4.17E-14,2.56E-22
1.63E+02,1.25E-13,1.92E-21
1.64E+02,5.21E-13,1.73E-20
1.65E+02,5.65E-13,2.10E-20
1.66E+02,9.02E-13,3.97E-20
1.67E+02,5.93E-13,2.28E-20
1.68E+02,2.15E-14,1.28E-22
1.69E+02,7.38E-13,2.80E-20
1.70E+02,8.07E-13,3.23E-20
1.71E+02,3.89E-13,1.06E-20
1.72E+02,5.60E-13,2.06E-20
1.73E+02,4.18E-13,1.22E-20
1.74E+02,7.19E-13,2.78E-20
1.75E+02,2.62E-13,6.79E-21
1.76E+02,2.04E-13,4.35E-21
1.77E+02,9.53E-13,4.14E-20
1.78E+02,1.10E-13,1.28E-21
1.79E+02,1.35E-13,1.92E-21
1.80E+02,5.75E-13,2.18E-20
1.81E+02,5.68E-13,2.16E-20
1.82E+02,5.68E-13,2.13E-20
1.83E+02,7.32E-13,2.77E-20
1.84E+02,1.84E-13,3.46E-21
1.85E+02,4.61E-13,1.52E-20
1.86E+02,6.10E-13,1.79E-20
1.87E+02,2.32E-13,5.76E-21
1.88E+02,4.95E-13,1.54E-20
1.89E+02,3.07E-13,8.71E-21
1.90E+02,3.70E-13,1.29E-20
1.91E+02,1.65E-12,8.51E-20
1.92E+02,2.51E-13,4.87E-21
1.93E+02,2.04E-13,4.35E-21
1.94E+02,5.41E-13,1.87E-20
1.95E+02,8.60E-14,1.02E-21
1.96E+02,3.88E-13,8.58E-21
1.97E+02,7.31E-13,2.87E-20
1.98E+02,8.79E-13,3.70E-20
1.99E+02,4.17E-14,2.56E-22
2.00E+02,2.55E-13,6.40E-21
2.01E+02,2.29E-13,4.99E-21
2.02E+02,6.90E-13,2.38E-20
2.03E+02,6.80E-13,2.21E-20
2.04E+02,4.42E-13,1.55E-20
2.05E+02,7.37E-13,2.89E-20
2.06E+02,1.91E-13,3.71E-21
2.07E+02,2.56E-13,6.53E-21
2.08E+02,3.69E-13,1.29E-20
2.09E+02,2.84E-13,8.07E-21
2.10E+02,5.84E-13,2.15E-20
2.11E+02,2.06E-13,4.35E-21
2.12E+02,6.12E-13,2.28E-20
2.13E+02,7.87E-13,3.15E-20
2.14E+02,5.54E-13,2.00E-20
2.15E+02,4.18E-13,1.31E-20
2.16E+02,5.59E-13,2.04E-20
2.17E+02,6.26E-13,2.36E-20
2.18E+02,1.15E-12,5.06E-20
2.19E+02,3.52E-13,8.83E-21
2.20E+02,4.74E-13,1.46E-20
2.21E+02,4.79E-13,1.31E-20
2.22E+02,4.17E-14,2.56E-22
2.23E+02,8.15E-13,3.38E-20
2.24E+02,6.69E-13,2.39E-20
2.25E+02,5.75E-13,2.13E-20
2.26E+02,8.30E-13,3.46E-20
2.27E+02,2.82E-13,6.53E-21
2.28E+02,1.29E-13,1.54E-21
2.29E+02,4.17E-14,2.56E-22
2.30E+02,5.36E-13,1.54E-20
2.31E+02,1.10E-13,1.28E-21
2.32E+02,5.31E-14,3.84E-22
2.33E+02,4.07E-13,1.14E-20
2.34E+02,3.08E-13,8.83E-21
2.35E+02,1.01E-13,1.28E-21
2.36E+02,1.09E-13,1.28E-21
2.37E+02,1.82E-13,3.97E-21
2.38E+02,3.66E-13,8.96E-21
2.39E+02,6.28E-13,2.42E-20
2.40E+02,8.72E-13,3.50E-20
2.41E+02,5.36E-13,1.95E-20
2.42E+02,4.17E-14,2.56E-22
2.43E+02,2.44E-13,4.61E-21
2.44E+02,5.85E-13,2.09E-20
2.45E+02,2.55E-13,6.40E-21
2.46E+02,5.23E-13,1.77E-20
2.47E+02,1.34E-13,1.92E-21
2.48E+02,1.90E-13,2.94E-21
2.49E+02,6.45E-14,5.12E-22
2.50E+02,1.09E-13,1.28E-21
2.51E+02,2.81E-13,5.89E-21
2.52E+02,4.70E-13,1.50E-20
2.53E+02,2.17E-13,4.61E-21
2.54E+02,4.17E-14,2.56E-22
2.55E+02,1.13E-12,5.35E-20
2.56E+02,1.76E-13,2.82E-21
2.57E+02,4.12E-13,1.27E-20
2.58E+02,2.32E-13,3.71E-21
2.59E+02,1.04E-12,3.55E-20
2.60E+02,4.93E-13,1.72E-20
2.61E+02,4.99E-13,1.69E-20
2.62E+02,4.71E-13,1.52E-20
2.63E+02,7.66E-13,3.18E-20
2.64E+02,1.55E-12,7.86E-20
2.65E+02,4.74E-13,1.33E-20
2.66E+02,4.76E-13,1.51E-20
2.67E+02,3.65E-13,9.86E-21
2.68E+02,5.13E-13,1.79E-20
2.69E+02,5.64E-13,2.07E-20
2.70E+02,4.62E-13,1.27E-20
2.71E+02,1.42E-13,1.79E-21
2.72E+02,2.37E-13,4.10E-21
2.73E+02,5.18E-13,1.81E-20
2.74E+02,2.38E-12,1.33E-19
2.75E+02,6.54E-13,2.36E-20
2.76E+02,4.07E-13,1.20E-20
2.77E+02,3.61E-13,9.09E-21
2.78E+02,8.60E-14,8.96E-22
2.79E+02,5.86E-13,2.25E-20
2.80E+02,8.53E-13,2.83E-20
2.81E+02,1.10E-12,5.07E-20
2.82E+02,4.56E-13,1.46E-20
2.83E+02,2.22E-13,3.71E-21
2.84E+02,4.43E-13,1.41E-20
2.85E+02,3.81E-13,1.02E-20
2.86E+02,3.12E-13,9.35E-21
2.87E+02,2.95E-13,8.19E-21
2.88E+02,5.37E-13,1.89E-20
2.89E+02,5.09E-13,1.82E-20
2.90E+02,4.90E-13,1.66E-20
2.91E+02,5.55E-13,2.04E-20
2.92E+02,4.70E-13,1.46E-20
2.93E+02,3.95E-13,1.11E-20
2.94E+02,3.83E-13,1.18E-20
2.95E+02,8.31E-13,3.55E-20
2.96E+02,3.37E-13,1.05E-20
2.97E+02,4.65E-13,1.47E-20
2.98E+02,7.80E-13,3.09E-20
2.99E+02,8.91E-13,3.98E-20
3.00E+02,2.63E-13,5.89E-21
3.01E+02,6.63E-13,1.77E-20
3.02E+02,4.69E-13,1.20E-20
3.03E+02,9.41E-13,2.94E-20
3.04E+02,5.18E-13,1.73E-20
3.05E+02,7.70E-13,2.93E-20
3.06E+02,2.38E-13,4.35E-21
3.07E+02,3.33E-13,7.94E-21
3.08E+02,6.21E-13,2.01E-20
3.09E+02,3.96E-13,1.01E-20
3.10E+02,2.70E-13,5.25E-21
3.11E+02,3.89E-13,1.04E-20
3.12E+02,4.52E-13,1.47E-20
3.13E+02,8.47E-13,3.57E-20
3.14E+02,2.82E-13,7.81E-21
3.15E+02,5.51E-13,1.95E-20
3.16E+02,4.04E-13,9.60E-21
3.17E+02,5.13E-13,1.75E-20
3.18E+02,2.79E-13,7.17E-21
3.19E+02,4.17E-14,2.56E-22
3.20E+02,3.65E-13,1.01E-20
3.21E+02,1.28E-12,4.28E-20
3.22E+02,4.29E-13,1.28E-20
3.23E+02,5.65E-13,2.07E-20
3.24E+02,6.81E-13,2.46E-20
3.25E+02,2.14E-13,3.71E-21
3.26E+02,9.87E-14,1.28E-21
3.27E+02,2.10E-13,3.20E-21
3.28E+02,3.93E-13,1.36E-20
3.29E+02,7.78E-13,3.14E-20
3.30E+02,7.59E-13,2.83E-20
3.31E+02,2.39E-13,4.35E-21
3.32E+02,8.48E-13,3.15E-20
3.33E+02,4.17E-14,2.56E-22
3.34E+02,9.22E-13,3.41E-20
3.35E+02,1.81E-13,3.33E-21
3.36E+02,1.47E-13,2.56E-21
3.37E+02,3.29E-13,7.43E-21
3.38E+02,3.15E-13,7.43E-21
3.39E+02,1.65E-13,2.18E-21
3.40E+02,1.29E-12,6.50E-20
3.41E+02,4.91E-13,1.19E-20
3.42E+02,4.54E-13,1.47E-20
3.43E+02,2.29E-13,5.38E-21
3.44E+02,5.09E-13,1.81E-20
3.45E+02,7.86E-13,3.41E-20
3.46E+02,8.58E-13,3.60E-20
3.47E+02,1.09E-12,4.83E-20
3.48E+02,5.73E-13,2.13E-20
3.49E+02,4.22E-13,1.27E-20
3.50E+02,8.06E-13,3.32E-20
3.51E+02,6.09E-13,2.41E-20
3.52E+02,5.45E-13,1.98E-20
3.53E+02,2.14E-13,3.71E-21
3.54E+02,4.79E-13,1.55E-20
3.55E+02,4.17E-14,2.56E-22
3.56E+02,4.35E-13,1.38E-20
3.57E+02,6.54E-13,2.37E-20
3.58E+02,5.81E-13,1.95E-20
3.59E+02,1.70E-12,7.40E-20
3.60E+02,1.28E-12,6.24E-20
3.61E+02,7.90E-13,3.28E-20
3.62E+02,3.05E-13,7.30E-21
3.63E+02,2.99E-13,8.71E-21
3.64E+02,1.56E-12,6.66E-20
3.65E+02,3.92E-13,1.36E-20
3.66E+02,2.10E-13,2.94E-21
3.67E+02,2.15E-14,1.28E-22
3.68E+02,6.68E-13,2.71E-20
3.69E+02,1.01E-12,3.76E-20
3.70E+02,6.10E-13,1.45E-20
3.71E+02,1.14E-12,3.61E-20
3.72E+02,5.75E-13,2.15E-20
3.73E+02,2.65E-13,5.38E-21
3.74E+02,3.41E-13,8.32E-21
3.75E+02,3.01E-13,6.66E-21
3.76E+02,4.32E-13,1.25E-20
3.77E+02,4.57E-12,2.10E-19
3.78E+02,7.30E-13,2.78E-20
3.79E+02,5.59E-13,1.93E-20
3.80E+02,1.10E-12,3.80E-20
3.81E+02,2.56E-13,6.53E-21
3.82E+02,1.33E-13,2.05E-21
3.83E+02,4.17E-14,2.56E-22
3.84E+02,3.84E-13,1.08E-20
3.85E+02,3.87E-13,1.08E-20
3.86E+02,5.07E-13,1.73E-20
3.87E+02,2.98E-13,8.45E-21
3.88E+02,1.26E-12,3.57E-20
3.89E+02,2.79E-13,5.89E-21
3.90E+02,7.32E-13,2.74E-20
3.91E+02,6.09E-13,2.05E-20
3.92E+02,4.17E-14,2.56E-22
3.93E+02,2.44E-13,5.89E-21
3.94E+02,5.17E-13,1.82E-20
3.95E+02,2.15E-14,1.28E-22
3.96E+02,7.28E-13,2.66E-20
3.97E+02,1.11E-13,1.41E-21
3.98E+02,8.66E-13,3.64E-20
3.99E+02,5.14E-13,1.77E-20
4.00E+02,2.30E-13,5.51E-21
4.01E+02,1.09E-13,1.41E-21
4.02E+02,6.94E-13,2.79E-20
4.03E+02,4.81E-13,1.55E-20
4.04E+02,3.43E-13,8.71E-21
4.05E+02,2.15E-13,4.10E-21
4.06E+02,6.14E-13,2.46E-20
4.07E+02,3.29E-13,7.94E-21
4.08E+02,6.58E-14,6.40E-22
4.09E+02,3.57E-13,1.08E-20
4.10E+02,4.08E-13,1.14E-20
4.11E+02,1.63E-13,2.18E-21
4.12E+02,4.75E-13,1.50E-20
4.13E+02,6.33E-14,5.12E-22
4.14E+02,4.22E-13,1.23E-20
4.15E+02,3.37E-13,1.08E-20
4.16E+02,1.18E-12,5.24E-20
4.17E+02,2.91E-13,6.40E-21
4.18E+02,5.61E-13,1.93E-20
4.19E+02,1.17E-12,3.66E-20
4.20E+02,2.84E-13,6.15E-21
4.21E+02,1.80E-13,3.58E-21
4.22E+02,6.41E-13,2.55E-20
4.23E+02,7.40E-13,2.66E-20
4.24E+02,4.00E-13,1.10E-20
4.25E+02,2.85E-13,6.27E-21
4.26E+02,8.59E-13,3.65E-20
4.27E+02,1.05E-12,3.56E-20
4.28E+02,3.96E-13,8.83E-21
4.29E+02,7.70E-13,3.11E-20
4.30E+02,1.02E-12,4.12E-20
4.31E+02,3.63E-13,9.47E-21
4.32E+02,5.47E-13,1.93E-20
4.33E+02,1.05E-12,2.97E-20
4.34E+02,6.90E-13,2.46E-20
4.35E+02,8.73E-14,8.96E-22
4.36E+02,6.27E-13,2.13E-20
4.37E+02,3.22E-13,7.68E-21
4.38E+02,6.45E-14,5.12E-22
4.39E+02,6.65E-13,2.57E-20
4.40E+02,3.90E-13,1.17E-20
4.41E+02,1.96E-13,3.07E-21
4.42E+02,2.15E-14,1.28E-22
4.43E+02,5.38E-13,1.28E-20
4.44E+02,4.32E-13,1.31E-20
4.45E+02,3.66E-13,1.24E-20
4.46E+02,2.22E-13,4.35E-21
4.47E+02,4.50E-13,9.86E-21
4.48E+02,4.99E-13,1.68E-20
4.49E+02,7.00E-13,2.59E-20
4.50E+02,3.86E-13,1.06E-20
4.51E+02,6.79E-13,2.48E-20
4.52E+02,4.78E-13,1.60E-20
4.53E+02,4.89E-13,1.51E-20
4.54E+02,7.07E-13,2.48E-20
4.55E+02,1.34E-12,5.03E-20
4.56E+02,7.88E-13,3.07E-20
4.57E+02,5.61E-13,1.25E-20
4.58E+02,8.60E-13,3.70E-20
4.59E+02,8.70E-13,3.01E-20
4.60E+02,4.89E-13,1.64E-20
4.61E+02,1.94E-13,4.23E-21
4.62E+02,8.03E-13,3.05E-20
4.63E+02,7.62E-13,2.39E-20
4.64E+02,5.38E-13,1.75E-20
4.65E+02,4.37E-13,1.32E-20
4.66E+02,4.01E-13,1.15E-20
4.67E+02,6.53E-13,2.11E-20
4.68E+02,7.26E-13,2.91E-20
4.69E+02,4.17E-14,2.56E-22
4.70E+02,3.62E-13,9.22E-21
4.71E+02,2.94E-12,1.33E-19
4.72E+02,9.13E-13,3.90E-20
4.73E+02,6.33E-13,2.54E-20
4.74E+02,3.91E-13,1.10E-20
4.75E+02,5.90E-13,2.23E-20
4.76E+02,3.95E-13,1.13E-20
4.77E+02,4.91E-13,1.59E-20
4.78E+02,8.16E-13,3.06E-20
4.79E+02,6.66E-13,2.29E-20
4.80E+02,5.37E-13,1.84E-20
4.81E+02,5.83E-13,2.14E-20
4.82E+02,2.22E-13,3.46E-21
4.83E+02,2.72E-13,5.63E-21
4.84E+02,1.11E-13,1.54E-21
4.85E+02,1.11E-13,1.28E-21
4.86E+02,6.24E-13,2.06E-20
4.87E+02,3.14E-13,7.55E-21
4.88E+02,3.66E-13,9.60E-21
4.89E+02,2.67E-13,5.38E-21
4.90E+02,3.30E-13,8.32E-21
4.91E+02,3.05E-13,7.17E-21
4.92E+02,3.34E-13,1.01E-20
4.93E+02,2.33E-13,5.89E-21
4.94E+02,2.81E-13,6.53E-21
4.95E+02,4.59E-13,1.46E-20
4.96E+02,3.86E-13,9.99E-21
4.97E+02,7.61E-13,3.21E-20
4.98E+02,6.71E-13,2.52E-20
4.99E+02,2.55E-13,6.27E-21
5.00E+02,1.45E-12,7.30E-20
5.01E+02,5.24E-13,1.81E-20
5.02E+02,2.24E-13,3.97E-21
5.03E+02,2.24E-13,3.84E-21
5.04E+02,3.27E-13,7.17E-21
5.05E+02,3.04E-13,6.53E-21
5.06E+02,5.23E-13,1.78E-20
5.07E+02,7.67E-13,2.74E-20
5.08E+02,2.80E-13,5.89E-21
5.09E+02,1.13E-13,1.41E-21
5.10E+02,8.60E-14,1.02E-21
5.11E+02,5.72E-13,1.47E-20
5.12E+02,3.32E-13,6.66E-21
5.13E+02,5.31E-14,3.84E-22
5.14E+02,5.89E-13,1.87E-20
5.15E+02,5.20E-13,1.38E-20
5.16E+02,2.57E-13,4.87E-21
5.17E+02,5.88E-13,1.92E-20
5.18E+02,5.46E-13,1.41E-20
5.19E+02,5.78E-13,2.18E-20
5.20E+02,6.89E-13,2.43E-20
5.21E+02,4.17E-14,2.56E-22
5.22E+02,9.53E-13,3.48E-20
5.23E+02,1.60E-13,2.82E-21
5.24E+02,3.63E-13,9.35E-21
5.25E+02,1.07E-12,4.10E-20
5.26E+02,3.10E-13,7.55E-21
5.27E+02,5.18E-13,1.86E-20
5.28E+02,3.25E-13,7.68E-21
5.29E+02,5.74E-13,2.10E-20
5.30E+02,7.83E-13,2.19E-20
5.31E+02,4.01E-13,1.17E-20
5.32E+02,1.43E-13,2.18E-21
5.33E+02,2.01E-13,3.84E-21
5.34E+02,6.05E-13,2.11E-20
5.35E+02,6.45E-14,5.12E-22
5.36E+02,6.28E-13,2.48E-20
5.37E+02,5.33E-13,1.59E-20
5.38E+02,3.54E-13,7.43E-21
5.39E+02,4.15E-13,1.18E-20
5.40E+02,7.63E-13,2.94E-20
5.41E+02,3.46E-13,8.96E-21
5.42E+02,8.57E-13,2.29E-20
5.43E+02,6.35E-13,2.36E-20
5.44E+02,1.95E-13,4.10E-21
5.45E+02,5.71E-13,2.15E-20
5.46E+02,6.58E-14,6.40E-22
5.47E+02,3.99E-13,1.10E-20
5.48E+02,1.09E-13,1.54E-21
5.49E+02,6.16E-13,2.11E-20
5.50E+02,1.54E-13,1.92E-21
5.51E+02,5.46E-13,1.68E-20
5.52E+02,7.42E-13,2.83E-20
5.53E+02,1.13E-12,4.15E-20
5.54E+02,1.47E-13,2.30E-21
5.55E+02,2.89E-13,5.89E-21
5.56E+02,4.52E-13,1.18E-20
5.57E+02,2.57E-13,5.25E-21
5.58E+02,5.50E-13,1.88E-20
5.59E+02,1.44E-12,5.76E-20
5.60E+02,4.57E-13,1.40E-20
5.61E+02,7.48E-13,2.07E-20
5.62E+02,5.95E-13,2.33E-20
5.63E+02,5.08E-13,1.78E-20
5.64E+02,3.76E-13,1.05E-20
5.65E+02,3.33E-13,7.94E-21
5.66E+02,6.89E-13,2.45E-20
5.67E+02,5.12E-13,1.73E-20
5.68E+02,4.27E-13,1.23E-20
5.69E+02,4.17E-14,2.56E-22
5.70E+02,4.50E-13,1.49E-20
5.71E+02,9.74E-13,4.43E-20
5.72E+02,3.29E-14,2.56E-22
5.73E+02,6.69E-13,2.19E-20
5.74E+02,5.31E-14,3.84E-22
5.75E+02,4.97E-13,1.51E-20
5.76E+02,5.42E-13,1.89E-20
5.77E+02,5.50E-13,1.93E-20
5.78E+02,8.45E-13,3.28E-20
5.79E+02,7.47E-13,2.27E-20
5.80E+02,5.51E-13,1.98E-20
5.81E+02,7.43E-13,2.84E-20
5.82E+02,5.47E-13,1.95E-20
5.83E+02,8.00E-13,3.10E-20
5.84E+02,6.85E-13,2.48E-20
5.85E+02,4.47E-13,1.38E-20
5.86E+02,2.40E-12,1.14E-19
5.87E+02,4.20E-13,1.11E-20
5.88E+02,1.00E-12,4.24E-20
5.89E+02,2.28E-13,3.58E-21
5.90E+02,6.69E-13,2.36E-20
5.91E+02,4.47E-13,1.38E-20
5.92E+02,2.11E-13,3.71E-21
5.93E+02,2.10E-12,8.81E-20
5.94E+02,6.71E-13,2.51E-20
5.95E+02,6.58E-14,6.40E-22
5.96E+02,3.30E-13,6.40E-21
5.97E+02,3.38E-13,8.32E-21
5.98E+02,7.13E-13,2.50E-20
5.99E+02,5.46E-13,1.87E-20
6.00E+02,7.52E-13,2.91E-20
6.01E+02,3.52E-13,8.71E-21
6.02E+02,3.53E-13,9.09E-21
6.03E+02,2.57E-13,6.91E-21
6.04E+02,6.56E-13,2.32E-20
6.05E+02,4.77E-13,1.32E-20
6.06E+02,4.61E-13,1.41E-20
6.07E+02,6.38E-13,2.20E-20
6.08E+02,6.56E-13,2.34E-20
6.09E+02,3.41E-13,9.35E-21
6.10E+02,3.93E-13,1.19E-20
6.11E+02,4.66E-13,1.46E-20
6.12E+02,2.37E-13,4.23E-21
6.13E+02,3.17E-13,7.30E-21
6.14E+02,7.64E-13,3.25E-20
6.15E+02,1.11E-12,3.66E-20
6.16E+02,2.53E-13,4.61E-21
6.17E+02,2.52E-13,5.76E-21
6.18E+02,3.98E-13,1.14E-20
6.19E+02,5.90E-13,1.93E-20
6.20E+02,7.13E-13,2.60E-20
6.21E+02,1.26E-12,4.84E-20
6.22E+02,4.17E-14,2.56E-22
6.23E+02,1.53E-12,7.13E-20
6.24E+02,3.28E-13,7.81E-21
6.25E+02,6.67E-13,2.36E-20
6.26E+02,9.87E-14,1.15E-21
6.27E+02,5.82E-13,2.05E-20
6.28E+02,9.87E-14,1.15E-21
6.29E+02,4.51E-13,1.45E-20
6.30E+02,4.22E-13,1.09E-20
6.31E+02,4.17E-14,2.56E-22
6.32E+02,4.95E-13,1.63E-20
6.33E+02,3.42E-13,8.19E-21
6.34E+02,4.50E-13,1.31E-20
6.35E+02,6.17E-13,2.00E-20
6.36E+02,6.81E-13,2.36E-20
6.37E+02,4.75E-13,1.52E-20
6.38E+02,5.42E-13,1.60E-20
6.39E+02,1.47E-12,4.19E-20
6.40E+02,7.76E-13,3.18E-20
6.41E+02,5.83E-13,1.86E-20
6.42E+02,1.80E-12,6.02E-20
6.43E+02,2.01E-13,3.46E-21
6.44E+02,1.33E-12,6.98E-20
6.45E+02,3.33E-13,7.17E-21
6.46E+02,3.42E-13,8.19E-21
6.47E+02,4.64E-13,1.41E-20
6.48E+02,1.27E-12,5.95E-20
6.49E+02,1.62E-13,2.18E-21
6.50E+02,6.04E-13,2.05E-20
6.51E+02,6.98E-13,2.39E-20
6.52E+02,1.53E-12,5.66E-20
6.53E+02,2.70E-13,5.51E-21
6.54E+02,4.58E-13,1.14E-20
6.55E+02,4.22E-13,1.20E-20
6.56E+02,9.85E-13,4.02E-20
6.57E+02,5.78E-13,1.89E-20
6.58E+02,4.12E-13,1.20E-20
6.59E+02,2.65E-13,5.25E-21
6.60E+02,1.23E-12,4.60E-20
6.61E+02,1.99E-13,3.07E-21
6.62E+02,5.10E-13,1.73E-20
6.63E+02,3.23E-13,6.27E-21
